Quote,Author,emotion
"Don't cry because it's over, smile because it happened.",Dr. Seuss,Joy
"I'm selfish, impatient and a little insecure. I make mistakes, I am out of control and at times hard to handle. But if you can't handle me at my worst, then you sure as hell don't deserve me at my best.",Marilyn Monroe,Anger
Be yourself; everyone else is already taken.,Oscar Wilde,Anger
Two things are infinite: the universe and human stupidity; and I'm not sure about the universe.,Albert Einstein,Joy
"Be who you are and say what you feel, because those who mind don't matter, and those who matter don't mind.",Bernard M. Baruch,Joy
"You've gotta dance like there's nobody watching,Love like you'll never be hurt,Sing like there's nobody listening,And live like it's heaven on earth.",William W. Purkey,Joy
You know you're in love when you can't fall asleep because reality is finally better than your dreams.,Dr. Seuss,Joy
A room without books is like a body without a soul.,Marcus Tullius Cicero,Fear
"So many books, so little time.",Frank Zappa,Anger
"You only live once, but if you do it right, once is enough.",Mae West,Joy
Be the change that you wish to see in the world.,Mahatma Gandhi,Joy
In three words I can sum up everything I've learned about life: it goes on.,Robert Frost,Joy
"Friendship ... is born at the moment when one man says to another ""What! You too? I thought that no one but myself . . .",C.S. Lewis,Anger
"If you want to know what a man's like, take a good look at how he treats his inferiors, not his equals.",J.K. Rowling,Anger
Don’t walk in front of me… I may not followDon’t walk behind me… I may not leadWalk beside me… just be my friend,Albert Camus,Joy
No one can make you feel inferior without your consent.,Eleanor Roosevelt,Anger
"If you tell the truth, you don't have to remember anything.",Mark Twain,Joy
A friend is someone who knows all about you and still loves you.,Elbert Hubbard,Joy
Always forgive your enemies; nothing annoys them so much.,Oscar Wilde,Anger
"I've learned that people will forget what you said, people will forget what you did, but people will never forget how you made them feel.",Maya Angelou,Joy
Live as if you were to die tomorrow. Learn as if you were to live forever.,Mahatma Gandhi,Joy
I am so clever that sometimes I don't understand a single word of what I am saying.,Oscar Wilde,Joy
Darkness cannot drive out darkness: only light can do that. Hate cannot drive out hate: only love can do that.,Martin Luther King Jr.,Anger
"To live is the rarest thing in the world. Most people exist, that is all.",Oscar Wilde,Joy
"Without music, life would be a mistake.",Friedrich Nietzsche,Anger
"Insanity is doing the same thing, over and over again, but expecting different results.",Narcotics Anonymous,Fear
To be yourself in a world that is constantly trying to make you something else is the greatest accomplishment.,Ralph Waldo Emerson,Joy
"I believe that everything happens for a reason. People change so that you can learn to let go, things go wrong so that you appreciate them when they're right, you believe lies so you eventually learn to trust no one but yourself, and sometimes good things fall apart so better things can fall together.",Marilyn Monroe,Joy
Twenty years from now you will be more disappointed by the things that you didn't do than by the ones you did do. So throw off the bowlines. Sail away from the safe harbor. Catch the trade winds in your sails. Explore. Dream. Discover.,H. Jackson Brown Jr.,Joy
We accept the love we think we deserve.,Stephen Chbosky,Joy
It is better to be hated for what you are than to be loved for what you are not.,André Gide,Anger
"Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring.",Marilyn Monroe,Joy
"All that is gold does not glitter,Not all those who wander are lost;The old that is strong does not wither,Deep roots are not reached by the frost.From the ashes a fire shall be woken,A light from the shadows shall spring;Renewed shall be blade that was broken,The crownless again shall be king.",J.R.R. Tolkien,Joy
"The person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.",Jane Austen,Anger
